emp_no,title,from_date,to_date
10001,"Senior Engineer",1986-06-26,9999-01-01
10003,"Senior Engineer",1995-12-03,9999-01-01
10004,Engineer,1986-12-01,1995-12-01
10004,"Senior Engineer",1995-12-01,9999-01-01
10006,"Senior Engineer",1990-08-05,9999-01-01
10008,"Assistant Engineer",1998-03-11,2000-07-31
10009,"Assistant Engineer",1985-02-18,1990-02-18
10009,Engineer,1990-02-18,1995-02-18
10009,"Senior Engineer",1995-02-18,9999-01-01
10010,Engineer,1996-11-24,9999-01-01
10012,Engineer,1992-12-18,2000-12-18
10012,"Senior Engineer",2000-12-18,9999-01-01
10014,Engineer,1993-12-29,9999-01-01
10018,Engineer,1987-04-03,1995-04-03
10018,"Senior Engineer",1995-04-03,9999-01-01
10020,Engineer,1997-12-30,9999-01-01
10022,Engineer,1999-09-03,9999-01-01
10023,Engineer,1999-09-27,9999-01-01
10024,"Assistant Engineer",1998-06-14,9999-01-01
10026,Engineer,1995-03-20,2001-03-19
10026,"Senior Engineer",2001-03-19,9999-01-01
10027,Engineer,1995-04-02,2001-04-01
10027,"Senior Engineer",2001-04-01,9999-01-01
10028,Engineer,1991-10-22,1998-04-06
10029,Engineer,1991-09-18,2000-09-17
10029,"Senior Engineer",2000-09-17,9999-01-01
10030,Engineer,1994-02-17,2001-02-17
10030,"Senior Engineer",2001-02-17,9999-01-01
10031,Engineer,1991-09-01,1998-09-01
10031,"Senior Engineer",1998-09-01,9999-01-01
10032,Engineer,1990-06-20,1995-06-20
10032,"Senior Engineer",1995-06-20,9999-01-01
10035,Engineer,1988-09-05,1996-09-05
10035,"Senior Engineer",1996-09-05,9999-01-01
10037,Engineer,1990-12-05,1995-12-05
10037,"Senior Engineer",1995-12-05,9999-01-01
10040,Engineer,1993-02-14,1999-02-14
10040,"Senior Engineer",1999-02-14,9999-01-01
10043,Engineer,1990-10-20,1997-10-20
10043,"Senior Engineer",1997-10-20,9999-01-01
10045,Engineer,1996-11-16,9999-01-01
10047,Engineer,1989-03-31,1998-03-31
10047,"Senior Engineer",1998-03-31,9999-01-01
10048,Engineer,1985-02-24,1987-01-27
10051,Engineer,1992-10-15,1998-10-15
10051,"Senior Engineer",1998-10-15,9999-01-01
10056,Engineer,1990-02-01,1999-02-01
10056,"Senior Engineer",1999-02-01,9999-01-01
10057,Engineer,1992-01-15,2000-01-15
10057,"Senior Engineer",2000-01-15,9999-01-01
10062,Engineer,1991-08-30,1999-08-30
10062,"Senior Engineer",1999-08-30,9999-01-01
10063,"Senior Engineer",1989-04-08,9999-01-01
10065,Engineer,1998-05-24,9999-01-01
10066,"Assistant Engineer",1986-02-26,1992-02-26
10066,Engineer,1992-02-26,1998-02-25
10066,"Senior Engineer",1998-02-25,9999-01-01
10067,Engineer,1987-03-04,1996-03-03
10067,"Senior Engineer",1996-03-03,9999-01-01
10072,Engineer,1989-05-21,1995-05-21
10072,"Senior Engineer",1995-05-21,9999-01-01
10073,Engineer,1998-02-02,1998-02-22
10075,"Senior Engineer",1988-05-17,2001-01-15
10076,"Senior Engineer",1996-07-15,9999-01-01
10078,Engineer,1994-09-29,9999-01-01
10081,Engineer,1986-10-30,1991-10-30
10081,"Senior Engineer",1991-10-30,9999-01-01
10083,Engineer,1987-03-31,1994-03-31
10083,"Senior Engineer",1994-03-31,9999-01-01
10084,Engineer,1995-12-15,2001-12-14
10084,"Senior Engineer",2001-12-14,9999-01-01
10085,"Senior Engineer",1994-04-09,9999-01-01
10090,"Senior Engineer",1986-03-14,1999-05-07
10091,Engineer,1992-11-18,2001-11-18
10091,"Senior Engineer",2001-11-18,9999-01-01
10092,Engineer,1996-04-22,9999-01-01
10096,Engineer,1999-01-23,9999-01-01
10098,Engineer,1985-05-13,1992-05-13
10098,"Senior Engineer",1992-05-13,1992-12-11
10102,"Assistant Engineer",1995-01-02,2002-01-02
10102,Engineer,2002-01-02,9999-01-01
10103,Engineer,1998-01-12,9999-01-01
10106,Engineer,1991-10-27,1997-10-26
10106,"Senior Engineer",1997-10-26,9999-01-01
10109,Engineer,1993-06-16,2001-06-16
10109,"Senior Engineer",2001-06-16,9999-01-01
10111,Engineer,1988-12-19,1996-12-19
10111,"Senior Engineer",1996-12-19,9999-01-01
10113,Engineer,1998-09-14,9999-01-01
10116,"Senior Engineer",1994-02-27,1998-11-01
10117,"Senior Engineer",1992-03-19,9999-01-01
10118,"Senior Engineer",1992-02-02,9999-01-01
10119,Engineer,1993-12-09,1997-10-30
10120,Engineer,1996-07-06,9999-01-01
10121,Engineer,1989-05-03,1996-05-03
10121,"Senior Engineer",1996-05-03,9999-01-01
10123,"Assistant Engineer",1993-01-15,1999-01-15
10123,Engineer,1999-01-15,9999-01-01
10124,Engineer,1991-09-05,1998-09-05
10124,"Senior Engineer",1998-09-05,9999-01-01
10127,"Senior Engineer",1991-05-17,9999-01-01
10130,"Senior Engineer",1988-06-21,9999-01-01
10131,Engineer,1999-09-17,1999-12-06
10133,Engineer,1985-12-15,1991-12-15
10133,"Senior Engineer",1991-12-15,9999-01-01
10134,Engineer,1987-12-12,1994-12-12
10134,"Senior Engineer",1994-12-12,9999-01-01
10135,"Assistant Engineer",1990-01-04,1999-01-04
10135,Engineer,1999-01-04,9999-01-01
10138,Engineer,1992-03-03,2001-03-03
10138,"Senior Engineer",2001-03-03,9999-01-01
10139,Engineer,1998-03-15,9999-01-01
10142,Engineer,1993-10-28,2001-10-28
10142,"Senior Engineer",2001-10-28,9999-01-01
10143,Engineer,1988-09-30,1993-09-30
10143,"Senior Engineer",1993-09-30,9999-01-01
10145,Engineer,1999-11-03,9999-01-01
10150,Engineer,1986-11-16,1995-11-16
10150,"Senior Engineer",1995-11-16,9999-01-01
10152,Engineer,1986-01-27,1987-08-03
10153,"Assistant Engineer",2000-01-08,9999-01-01
10156,Engineer,1993-05-14,2001-05-14
10156,"Senior Engineer",2001-05-14,9999-01-01
10157,"Senior Engineer",1997-12-10,9999-01-01
10158,Engineer,1987-06-04,1996-06-03
10158,"Senior Engineer",1996-06-03,9999-01-01
10159,"Senior Engineer",1996-06-12,9999-01-01
10161,Engineer,1991-06-09,1994-01-05
10162,Engineer,1998-05-27,9999-01-01
10164,Engineer,1990-10-19,1999-10-19
10164,"Senior Engineer",1999-10-19,9999-01-01
10166,Engineer,1996-09-02,9999-01-01
10167,Engineer,1992-04-04,2001-04-04
10167,"Senior Engineer",2001-04-04,9999-01-01
10169,Engineer,1998-06-28,9999-01-01
10170,Engineer,1986-01-02,1989-02-06
10172,Engineer,1998-02-04,9999-01-01
10174,Engineer,1987-06-01,1995-06-01
10174,"Senior Engineer",1995-06-01,9999-01-01
10179,Engineer,2000-01-25,9999-01-01
10181,"Senior Engineer",1988-06-22,9999-01-01
10182,Engineer,1990-09-02,1995-09-02
10182,"Senior Engineer",1995-09-02,9999-01-01
10188,"Senior Engineer",1987-08-27,9999-01-01
10189,Engineer,1992-09-13,1993-06-29
10190,Engineer,1986-06-23,1994-06-23
10190,"Senior Engineer",1994-06-23,9999-01-01
10191,"Senior Engineer",1986-04-10,9999-01-01
10192,Engineer,1988-06-13,1993-06-13
10192,"Senior Engineer",1993-06-13,9999-01-01
10193,Engineer,1996-09-21,9999-01-01
10195,Engineer,1985-02-15,1991-02-15
10195,"Senior Engineer",1991-02-15,2001-04-14
10197,Engineer,1994-06-28,2001-06-28
10197,"Senior Engineer",2001-06-28,9999-01-01
10198,Engineer,1985-08-31,1993-08-31
10198,"Senior Engineer",1993-08-31,9999-01-01
10200,Engineer,1994-02-17,2000-02-17
10200,"Senior Engineer",2000-02-17,9999-01-01
10201,Engineer,1992-11-10,1998-11-10
10201,"Senior Engineer",1998-11-10,9999-01-01
10202,Engineer,1991-10-06,2000-10-05
10202,"Senior Engineer",2000-10-05,9999-01-01
10204,Engineer,1998-12-18,1999-03-08
10205,"Senior Engineer",1993-08-23,9999-01-01
10207,Engineer,1992-10-11,1997-10-11
10207,"Senior Engineer",1997-10-11,9999-01-01
10211,Engineer,1991-11-22,1996-11-21
10211,"Senior Engineer",1996-11-21,9999-01-01
10212,Engineer,1996-01-28,2001-01-27
10212,"Senior Engineer",2001-01-27,9999-01-01
10218,"Senior Engineer",1997-01-31,9999-01-01
10221,Engineer,1988-06-08,1997-06-08
10221,"Senior Engineer",1997-06-08,2000-10-04
10222,"Assistant Engineer",1986-06-08,1995-06-08
10222,Engineer,1995-06-08,9999-01-01
10223,Engineer,1998-04-01,9999-01-01
10224,Engineer,1988-01-09,1996-01-09
10224,"Senior Engineer",1996-01-09,9999-01-01
10229,Engineer,1996-02-20,2000-06-30
10235,"Senior Engineer",1995-04-06,9999-01-01
